"","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","FamilySize","LR_predicted","y_tree1","y_RF","y_RF_2"
"1255","3","male",27,0,0,8.6625,"S","Mr","Single",0,"0","0","0"
"1256","1","female",25,1,0,55.4417,"C","Mrs","Small",1,"1","1","1"
"1257","3","female",35.5,1,9,69.55,"S","Mrs","Large",0,"0","1","1"
"1258","3","male",29,1,0,14.4583,"C","Mr","Small",0,"0","0","0"
"1259","3","female",22,0,0,39.6875,"S","Miss","Single",1,"0","0","0"
"1260","1","female",45,0,1,59.4,"C","Mrs","Small",1,"1","1","1"
"1261","2","male",29,0,0,13.8583,"C","Mr","Single",0,"0","1","0"
"1262","2","male",21,1,0,11.5,"S","Mr","Small",0,"0","0","0"
"1263","1","female",31,0,0,134.5,"C","Miss","Single",1,"1","1","1"
"1264","1","male",49,0,0,0,"S","Mr","Single",0,"0","0","0"
"1265","2","male",44,0,0,13,"S","Mr","Single",0,"0","0","0"
"1266","1","female",54,1,1,81.8583,"S","Mrs","Small",1,"1","1","1"
"1267","1","female",45,0,0,262.375,"C","Miss","Single",1,"1","1","1"
"1268","3","female",22,2,0,8.6625,"S","Miss","Small",1,"0","0","0"
"1269","2","male",21,0,0,11.5,"S","Mr","Single",0,"0","0","0"
"1270","1","male",55,0,0,50,"S","Mr","Single",0,"0","0","0"
"1271","3","male",5,4,2,31.3875,"S","Master","Large",0,"0","0","0"
"1272","3","male",29,0,0,7.75,"Q","Mr","Single",0,"0","0","0"
"1273","3","male",26,0,0,7.8792,"Q","Mr","Single",0,"0","0","0"
"1274","3","female",35.5,0,0,14.5,"S","Mrs","Single",1,"0","0","1"
"1275","3","female",19,1,0,16.1,"S","Mrs","Small",1,"1","0","0"
"1276","2","male",29,0,0,12.875,"S","Mr","Single",0,"0","0","0"
"1277","2","female",24,1,2,65,"S","Miss","Small",1,"1","1","1"
"1278","3","male",24,0,0,7.775,"S","Mr","Single",0,"0","0","0"
"1279","2","male",57,0,0,13,"S","Mr","Single",0,"0","0","0"
"1280","3","male",21,0,0,7.75,"Q","Mr","Single",0,"0","0","0"
"1281","3","male",6,3,1,21.075,"S","Master","Small",1,"1","0","0"
"1282","1","male",23,0,0,93.5,"S","Mr","Single",1,"0","0","0"
"1283","1","female",51,0,1,39.4,"S","Mrs","Small",1,"1","1","1"
"1284","3","male",13,0,2,20.25,"S","Master","Small",1,"1","1","1"
"1285","2","male",47,0,0,10.5,"S","Mr","Single",0,"0","0","0"
"1286","3","male",29,3,1,22.025,"S","Mr","Small",0,"0","0","0"
"1287","1","female",18,1,0,60,"S","Mrs","Small",1,"1","1","1"
"1288","3","male",24,0,0,7.25,"Q","Mr","Single",0,"0","0","0"
"1289","1","female",48,1,1,79.2,"C","Mrs","Small",1,"1","1","1"
"1290","3","male",22,0,0,7.775,"S","Mr","Single",0,"0","0","0"
"1291","3","male",31,0,0,7.7333,"Q","Mr","Single",0,"0","0","0"
"1292","1","female",30,0,0,164.8667,"S","Miss","Single",1,"1","1","1"
"1293","2","male",38,1,0,21,"S","Mr","Small",0,"0","0","0"
"1294","1","female",22,0,1,59.4,"C","Miss","Small",1,"1","1","1"
"1295","1","male",17,0,0,47.1,"S","Mr","Single",1,"0","0","0"
"1296","1","male",43,1,0,27.7208,"C","Mr","Small",0,"0","0","0"
"1297","2","male",20,0,0,13.8625,"C","Mr","Single",0,"0","0","0"
"1298","2","male",23,1,0,10.5,"S","Mr","Small",0,"0","0","0"
"1299","1","male",50,1,1,211.5,"C","Mr","Small",0,"0","0","0"
"1300","3","female",22,0,0,7.7208,"Q","Miss","Single",1,"1","1","1"
"1301","3","female",3,1,1,13.775,"S","Miss","Small",1,"1","1","1"
"1302","3","female",22,0,0,7.75,"Q","Miss","Single",1,"1","1","1"
"1303","1","female",37,1,0,90,"Q","Mrs","Small",1,"1","1","1"
"1304","3","female",28,0,0,7.775,"S","Miss","Single",1,"1","0","0"
"1305","3","male",29,0,0,8.05,"S","Mr","Single",0,"0","0","0"
"1306","1","female",39,0,0,108.9,"C","Other","Single",1,"1","1","1"
"1307","3","male",38.5,0,0,7.25,"S","Mr","Single",0,"0","0","0"
"1308","3","male",29,0,0,8.05,"S","Mr","Single",0,"0","0","0"
"1309","3","male",4,1,1,22.3583,"C","Master","Small",1,"1","1","1"
